Number,Name,HP,Attack,Defense,Special Atk,Special Def,Speed
1,"Bulbasaur",5,5,5,7,7,5
2,"Ivysaur",6,6,6,8,8,6
3,"Venusaur",8,8,8,10,10,8
4,"Chikorita",5,5,7,5,7,5
5,"Bayleef",6,6,8,6,8,6
6,"Meganium",8,8,10,8,10,8
7,"Treecko",4,5,4,7,6,7
8,"Grovyle",5,7,5,9,6,7
9,"Sceptile",7,9,7,11,9,12
10,"Turtwig",6,7,6,5,6,3
11,"Grotle",8,9,9,6,7,4
12,"Torterra",10,11,11,8,9,6
13,"Snivy",6,10,6,4,8,12
14,"Servine",6,6,8,6,8,8
15,"Serperior",8,8,10,8,10,11
16,"Charmander",4,5,4,6,5,7
17,"Charmeleon",6,6,6,8,7,8
18,"Charizard",8,8,8,11,9,10
19,"Cyndaquil",4,5,4,6,5,7
20,"Quilava",6,6,6,8,7,8
21,"Typhlosion",8,8,8,11,9,10
22,"Torchic",5,6,4,7,5,5
23,"Combusken",6,9,6,9,6,6
24,"Blaziken",8,12,7,11,7,8
25,"Chimchar",4,6,4,6,4,6
26,"Monferno",6,8,5,8,5,8
27,"Infernape",8,10,7,10,7,10
28,"Tepig",7,6,5,5,5,5
29,"Pignite",9,9,6,7,6,6
30,"Emboar",11,12,7,10,7,7
31,"Squirtle",6,3,4,7,8,6
32,"Wartortle",6,6,8,7,8,6
33,"Blastoise",8,8,10,9,11,8
34,"Totodile",5,7,6,4,5,4
35,"Croconaw",7,8,8,6,6,6
36,"Feraligatr",9,11,10,8,8,8
37,"Mudkip",5,7,5,5,5,4
38,"Marshtomp",7,6,6,8,8,6
39,"Swampert",10,11,9,9,9,6
40,"Piplup",5,5,5,6,6,4
41,"Prinplup",6,7,7,8,8,5
42,"Empoleon",8,9,9,11,10,6
43,"Oshawott",6,6,5,6,5,5
44,"Dewott",8,8,6,8,6,6
45,"Samurott",10,10,9,10,7,7
46,"Caterpie",5,3,4,2,2,5
47,"Metapod",5,2,6,3,3,3
48,"Butterfree",6,5,5,8,8,7
49,"Weedle",4,4,3,2,2,5
50,"Kakukna",5,3,5,3,3,4
51,"Beedrill",7,8,4,5,8,8
52,"Sewaddle",5,5,7,4,6,4
53,"Swadloon",6,6,9,5,8,4
54,"Leavany",8,10,8,7,7,9
55,"Venipede",3,5,6,3,4,6
56,"Whirlipede",4,6,10,4,8,5
57,"Scolipede",6,9,9,6,7,11
58,"Wurmple",5,5,4,2,3,2
59,"Silcoon",5,4,6,3,3,2
60,"Beautifly",6,7,5,9,5,7
61,"Cascoon",5,4,6,3,3,2
62,"Dustox",6,5,7,5,9,7
63,"Pidgey",4,5,4,4,4,6
64,"Pidgeotto",6,6,6,5,5,7
65,"Pidgeot",8,8,8,7,7,9
66,"Togepi",4,2,7,4,7,2
67,"Togetic",6,4,9,8,11,4
68,"Togekiss",9,5,10,12,12,8
69,"Starly",6,8,5,4,4,8
70,"Staravia",9,12,7,5,5,10
71,"Staraptor",7,10,6,9,7,9
72,"Pidove",5,6,5,4,3,4
